Time,EMG,Force
0,-0.007316,11.501573
0.001,-0.012308,11.332112
0.002,-0.015045,11.360355
0.003,-0.015689,11.360355
0.004,-0.015045,11.55806
0.005,-0.013757,11.473329
0.006,-0.011986,11.614547
0.007,-0.01102,11.784007
0.008,-0.011181,11.840494
0.009,-0.013113,11.388599
0.01,-0.013918,11.388599
0.011,-0.013757,11.303869
0.012,-0.012469,11.388599
0.013,-0.011342,11.55806
0.014,-0.010215,11.925225
0.015,-0.009249,12.009955
0.016,-0.008443,12.009955
0.017,-0.006672,12.094685
0.018,-0.003774,11.840494
0.019,9.00E-05,11.699277
0.02,0.003471,11.473329
0.021,0.007657,11.784007
0.022,0.011361,11.72752
0.023,0.015869,11.671033
0.024,0.020216,11.614547
0.025,0.023597,11.784007
0.026,0.026818,11.896981
0.027,0.028911,12.066442
0.028,0.029877,12.038198
0.029,0.029555,12.151172
0.03,0.028106,12.122929
0.031,0.025208,11.981711
0.032,0.021182,11.840494
0.033,0.016191,11.840494
0.034,0.011683,11.812251
0.035,0.007657,11.64279
0.036,0.005242,11.614547
0.037,0.00331,11.784007
0.038,0.002183,11.840494
0.039,0.000573,11.840494
0.04,0.002344,12.179416
0.041,-0.001842,12.094685
0.042,-0.003774,12.009955
0.043,-0.01102,11.925225
0.044,-0.0239,11.868738
0.045,-0.029375,11.812251
0.046,-0.029858,11.586303
0.047,-0.03018,11.64279
0.048,-0.027926,11.699277
0.049,-0.021485,11.981711
0.05,-0.012469,11.953468
0.051,-0.002808,11.896981
0.052,0.005564,11.72752
0.053,0.012971,11.699277
0.054,0.017157,11.473329
0.055,0.018284,11.868738
0.056,0.015386,11.388599
0.057,0.010073,11.388599
0.058,0.003954,11.840494
0.059,-0.00152,11.953468
0.06,-0.004579,11.868738
0.061,-0.006028,11.784007
0.062,-0.005062,12.009955
0.063,-0.00313,11.812251
0.064,0.000734,11.55806
0.065,0.005081,11.501573
0.066,0.008785,11.529816
0.067,0.0112,11.501573
0.068,0.012649,11.501573
0.069,0.014098,11.445086
0.07,0.015869,11.64279
0.071,0.016674,11.840494
0.072,0.016352,11.925225
0.073,0.016513,11.755764
0.074,0.018123,11.64279
0.075,0.021182,11.812251
0.076,0.024402,11.784007
0.077,0.026657,11.812251
0.078,0.027623,11.586303
0.079,0.022309,11.501573
0.08,0.03197,11.445086
0.081,0.027623,11.55806
0.082,0.024886,11.586303
0.083,0.023436,11.614547
0.084,0.017318,11.699277
0.085,0.008785,11.699277
0.086,0.002988,11.72752
0.087,-0.002003,11.812251
0.088,-0.003613,11.72752
0.089,-0.00474,11.671033
0.09,-0.006833,11.671033
0.091,-0.010376,11.529816
0.092,-0.013918,11.529816
0.093,-0.017299,11.501573
0.094,-0.021807,11.614547
0.095,-0.027121,11.699277
0.096,-0.0334,11.784007
0.097,-0.038874,11.812251
0.098,-0.043383,11.586303
0.099,-0.045798,11.64279
0.1,-0.046442,11.473329
0.101,-0.044832,11.529816
0.102,-0.041933,11.925225
0.103,-0.037103,12.151172
0.104,-0.03179,12.122929
0.105,-0.02696,12.094685
0.106,-0.021485,11.784007
0.107,-0.01424,11.64279
0.108,-0.005384,11.614547
0.109,0.003471,11.840494
0.11,0.011361,12.009955
0.111,0.016835,12.264146
0.112,0.019733,12.094685
0.113,0.022148,12.320633
0.114,0.023597,12.122929
0.115,0.023919,12.122929
0.116,0.023436,11.840494
0.117,0.023436,11.896981
0.118,0.024725,11.840494
0.119,0.026335,11.64279
0.12,0.028428,11.755764
0.121,0.031326,11.812251
0.122,0.034385,11.896981
0.123,0.037283,11.840494
0.124,0.038732,11.925225
0.125,0.045978,12.066442
0.126,0.041792,12.122929
0.127,0.042275,12.038198
0.128,0.04147,12.066442
0.129,0.038571,12.122929
0.13,0.031648,11.925225
0.131,0.023275,11.981711
0.132,0.01603,11.840494
0.133,0.0112,11.755764
0.134,0.007818,11.671033
0.135,0.003632,11.699277
0.136,-0.002164,11.868738
0.137,-0.005384,11.784007
0.138,-0.006672,11.981711
0.139,-0.00796,12.038198
0.14,-0.010215,11.953468
0.141,-0.011825,11.840494
0.142,-0.013435,11.755764
0.143,-0.014723,11.72752
0.144,-0.014884,11.219138
0.145,-0.013274,11.953468
0.146,-0.010537,11.868738
0.147,-0.006833,11.72752
0.148,-0.002486,12.066442
0.149,0.001378,12.066442
0.15,0.004276,11.812251
0.151,0.005886,11.529816
0.152,0.006852,11.55806
0.153,0.007657,11.473329
0.154,0.007335,11.529816
0.155,0.006691,11.445086
0.156,0.004759,11.614547
0.157,0.001861,11.72752
0.158,-0.002164,11.784007
0.159,-0.005223,11.699277
0.16,-0.007477,11.812251
0.161,-0.008443,11.64279
0.162,-0.010376,11.586303
0.163,-0.007477,11.388599
0.164,-0.013918,11.586303
0.165,-0.012308,11.614547
0.166,-0.011181,11.699277
0.167,-0.00941,11.784007
0.168,-0.009249,11.699277
0.169,-0.008443,11.671033
0.17,-0.008121,11.55806
0.171,-0.008604,11.501573
0.172,-0.009732,11.501573
0.173,-0.012791,11.445086
0.174,-0.017138,11.64279
0.175,-0.022934,11.614547
0.176,-0.029697,11.671033
0.177,-0.03501,11.840494
0.178,-0.039357,11.55806
0.179,-0.040967,11.501573
0.18,-0.040645,11.303869
0.181,-0.037425,11.360355
0.182,-0.032917,11.981711
0.183,-0.026799,11.981711
0.184,-0.021163,12.094685
0.185,-0.015528,11.981711
0.186,-0.008765,11.784007
0.187,-0.00313,11.501573
0.188,0.000895,11.699277
0.189,0.002988,11.699277
0.19,0.003954,11.755764
0.191,0.004437,11.840494
0.192,0.005725,12.094685
0.193,0.007657,12.094685
0.194,0.009107,12.094685
0.195,0.009912,11.953468
0.196,0.009751,11.925225
0.197,0.008624,11.755764
0.198,0.008141,11.812251
0.199,0.007818,11.64279
0.2,0.008141,11.72752
0.201,0.008785,11.614547
0.202,0.010234,11.671033
0.203,0.011361,11.840494
0.204,0.01925,11.868738
0.205,0.017479,11.896981
0.206,0.017801,12.009955
0.207,0.014742,11.784007
0.208,0.007013,11.925225
0.209,-0.004418,11.72752
0.21,-0.013113,11.755764
0.211,-0.01907,11.699277
0.212,-0.025672,11.72752
0.213,-0.030824,11.699277
0.214,-0.031146,11.840494
0.215,-0.029214,11.953468
0.216,-0.027926,11.72752
0.217,-0.025833,11.529816
0.218,-0.02229,11.64279
0.219,-0.018426,11.303869
0.22,-0.013918,11.671033
0.221,-0.009249,11.784007
0.222,-0.004257,11.586303
0.223,-0.000232,11.896981
0.224,0.003793,12.009955
0.225,0.007013,11.812251
0.226,0.008946,11.501573
0.227,0.009107,11.219138
0.228,0.008141,11.501573
0.229,0.007174,11.445086
0.23,0.005242,11.501573
0.231,0.004276,11.586303
0.232,0.003632,11.812251
0.233,0.00492,11.784007
0.234,0.00653,11.72752
0.235,0.007657,11.699277
0.236,0.008624,11.586303
0.237,0.008302,11.699277
0.238,0.007496,11.586303
0.239,0.001378,11.332112
0.24,0.004759,11.303869
0.241,-0.006511,11.473329
0.242,-0.012469,11.332112
0.243,-0.02068,11.586303
0.244,-0.026155,11.671033
0.245,-0.030824,11.64279
0.246,-0.032756,11.586303
0.247,-0.034366,11.586303
0.248,-0.034366,11.388599
0.249,-0.032273,11.416842
0.25,-0.027765,11.416842
0.251,-0.022934,11.529816
0.252,-0.019553,11.699277
0.253,-0.016816,11.586303
0.254,-0.015528,11.953468
0.255,-0.016011,11.360355
0.256,-0.018265,11.332112
0.257,-0.020841,11.134408
0.258,-0.021485,11.416842
0.259,-0.020841,11.755764
0.26,-0.020519,11.981711
0.261,-0.021163,12.122929
0.262,-0.021968,11.840494
0.263,-0.022612,11.981711
0.264,-0.022612,11.671033
0.265,-0.022934,11.55806
0.266,-0.021968,11.671033
0.267,-0.020358,11.812251
0.268,-0.018748,12.038198
0.269,-0.01746,12.094685
0.27,-0.015689,12.151172
0.271,-0.013757,11.981711
0.272,-0.011825,11.812251
0.273,-0.009571,11.586303
0.274,-0.006189,11.445086
0.275,-0.002647,11.586303
0.276,0.000895,11.840494
0.277,0.002183,11.784007
0.278,0.005403,11.953468
0.279,0.005403,11.925225
0.28,0.004437,11.925225
0.281,-0.002808,11.868738
0.282,-0.011181,11.671033
0.283,-0.011342,11.755764
0.284,-0.005384,11.671033
0.285,-7.10E-05,11.699277
0.286,0.003793,11.614547
0.287,0.007496,11.896981
0.288,0.009751,11.699277
0.289,0.009429,11.896981
0.29,0.007657,11.812251
0.291,0.005564,11.784007
0.292,0.003954,11.784007
0.293,0.002344,11.614547
0.294,0.001056,11.614547
0.295,0.000895,11.106164
0.296,0.002183,11.614547
0.297,0.005564,11.896981
0.298,0.010234,11.72752
0.299,0.01442,11.812251
0.3,0.017801,11.586303
0.301,0.019894,12.038198
0.302,0.020538,11.953468
0.303,0.019894,11.755764
0.304,0.01925,11.416842
0.305,0.019089,11.360355
0.306,0.018445,11.303869
0.307,0.018445,11.529816
0.308,0.018445,11.303869
0.309,0.016996,11.416842
0.31,0.01442,11.445086
0.311,0.011361,11.840494
0.312,0.008785,11.699277
0.313,0.007013,11.671033
0.314,0.005081,11.699277
0.315,0.003632,11.586303
0.316,0.002183,11.671033
0.317,0.000573,11.64279
0.318,-0.008765,11.671033
0.319,-0.006511,11.388599
0.32,-0.018265,11.614547
0.321,-0.024866,11.586303
0.322,-0.034044,11.812251
0.323,-0.041933,11.699277
0.324,-0.047891,11.72752
0.325,-0.051755,11.529816
0.326,-0.053043,11.699277
0.327,-0.053043,11.501573
0.328,-0.051594,11.586303
0.329,-0.048535,11.586303
0.33,-0.042417,11.671033
0.331,-0.033722,12.094685
0.332,-0.022934,11.64279
0.333,-0.011342,11.55806
0.334,0.000412,11.501573
0.335,0.011683,11.445086
0.336,0.021343,11.445086
0.337,0.029555,11.529816
0.338,0.037283,11.614547
0.339,0.043402,11.840494
0.34,0.04791,12.009955
0.341,0.049681,12.038198
0.342,0.049037,12.122929
0.343,0.047427,12.179416
0.344,0.045656,12.151172
0.345,0.044851,12.235903
0.346,0.045012,12.066442
0.347,0.045495,12.094685
0.348,0.045656,11.868738
0.349,0.046139,11.64279
0.35,0.045656,11.64279
0.351,0.043402,11.671033
0.352,0.039859,11.529816
0.353,0.034224,11.614547
0.354,0.027623,11.840494
0.355,0.020216,11.925225
0.356,0.012488,11.925225
0.357,0.005403,11.981711
0.358,0.000251,12.122929
0.359,-0.002647,12.151172
0.36,-0.004096,12.179416
0.361,-0.004096,11.925225
0.362,-0.00474,11.896981
0.363,-0.006189,11.699277
0.364,-0.006833,11.586303
0.365,-0.007638,11.64279
0.366,-0.00941,11.953468
0.367,-0.012147,11.953468
0.368,-0.016172,12.094685
0.369,-0.024222,12.009955
0.37,-0.045959,11.925225
0.371,-0.064314,11.755764
0.372,-0.077034,11.812251
0.373,-0.091202,11.868738
0.374,-0.099897,11.840494
0.375,-0.105371,11.953468
0.376,-0.105693,11.953468
0.377,-0.101507,11.473329
0.378,-0.093779,11.896981
0.379,-0.084279,12.094685
0.38,-0.071881,11.812251
0.381,-0.05417,11.529816
0.382,-0.032112,11.586303
0.383,-0.008927,11.473329
0.384,0.012166,11.755764
0.385,0.029877,11.896981
0.386,0.043724,11.981711
0.387,0.053706,11.784007
0.388,0.060952,11.840494
0.389,0.067231,11.953468
0.39,0.073832,11.868738
0.391,0.079146,11.784007
0.392,0.082688,11.812251
0.393,0.085103,11.896981
0.394,0.086552,11.953468
0.395,0.087679,11.953468
0.396,0.087035,11.925225
0.397,0.085425,11.784007
0.398,0.083332,11.840494
0.399,0.079629,11.812251
0.4,0.075121,11.64279
0.401,0.069163,11.529816
0.402,0.060147,11.72752
0.403,0.054994,11.671033
0.404,0.050164,11.614547
0.405,0.039215,11.671033
0.406,0.030843,11.840494
0.407,0.026013,11.840494
0.408,0.019894,11.755764
0.409,0.013937,11.72752
0.41,0.009751,11.953468
0.411,0.005403,11.981711
0.412,9.00E-05,11.840494
0.413,-0.004257,11.812251
0.414,-0.009088,11.784007
0.415,-0.013918,11.981711
0.416,-0.01907,11.699277
0.417,-0.022612,11.840494
0.418,-0.025027,11.755764
0.419,-0.026316,11.925225
0.42,-0.027121,12.066442
0.421,-0.027765,12.094685
0.422,-0.026799,12.518337
0.423,-0.025833,11.72752
0.424,-0.024061,11.868738
0.425,-0.022773,11.840494
0.426,-0.020841,11.812251
0.427,-0.019231,12.179416
0.428,-0.017621,12.320633
0.429,-0.015528,12.490094
0.43,-0.013113,12.292389
0.431,-0.010376,12.320633
0.432,-0.007316,12.151172
0.433,-0.004418,12.094685
